"codigo","actividad_economica","afecta_iva","categoria"
"771000","Alquiler de vehículos automotores sin chofer",,
"949909","Actividades de otras asociaciones n.c.p.",,
"773001","Alquiler de equipos de transporte sin operario, excepto vehículos automotores",,
"773002","Alquiler de maquinaria y equipo agropecuario, forestal, de construcción e ing. civil, sin operarios",,
"773003","Alquiler de maquinaria y equipo de oficina, sin operarios (sin servicio administrativo)",,
"772200","Alquiler de cintas de video y discos",,
"772100","Alquiler y arrendamiento de equipo recreativo y deportivo",,
"772900","Alquiler de otros efectos personales y enseres domésticos (incluye mobiliario para eventos)",,
"773009","Alquiler de otros tipos de maquinarias y equipos sin operario n.c.p.",,
"620100","Actividades de programación informática",,
"581200","Edición de directorios y listas de correo",,
"581300","Edición de diarios, revistas y otras publicaciones periódicas",,
"581900","Otras actividades de edición",,
"582000","Edición de programas informáticos",,
"631100","Procesamiento de datos, hospedaje y actividades conexas",,
"631200","Portales web",,
"331209","Reparación de otro tipo de maquinaria y equipos industriales n.c.p.",,
"951100","Reparación de computadores y equipo periférico",,
"620200","Actividades de consultoría de informática y de gestión de instalaciones informáticas",,
"620900","Otras actividades de tecnología de la información y de servicios informáticos",,
"721000","Investigaciones y desarrollo experimental en el campo de las ciencias naturales y la ingeniería",,
"722000","Investigaciones y desarrollo experimental en el campo de las ciencias sociales y las humanidades",,
"691001","Servicios de asesoramiento y representación jurídica",,
"691002","Servicio notarial",,
"691003","Conservador de bienes raíces",,
"691004","Receptores judiciales",,
"691009","Servicios de arbitraje; síndicos de quiebra y peritos judiciales; otras actividades jurídicas n.c.p.",,
"692000","Actividades de contabilidad, teneduría de libros y auditoría; consultoría fiscal",,
"732000","Estudios de mercado y encuestas de opinión pública",,
"701000","Actividades de oficinas principales",,
"702000","Actividades de consultoría de gestión",,
"711001","Servicios de arquitectura (diseño de edificios, dibujo de planos de construcción, entre otros)",,
"91001","Actividades de apoyo para la extracción de petróleo y gas natural prestados por empresas",,
"99001","Actividades de apoyo para la explotación de otras minas y canteras prestados por empresas",,
"91002","Actividades de apoyo para la extracción de petróleo y gas natural prestados por profesionales",,
"99002","Actividades de apoyo para la explotación de otras minas y canteras prestados por profesionales",,
"711002","Empresas de servicios de ingeniería y actividades conexas de consultoría técnica",,
"711003","Servicios profesionales de ingeniería y actividades conexas de consultoría técnica",,
"749009","Otras actividades profesionales, científicas y técnicas n.c.p.",,
"712001","Actividades de plantas de revisión técnica para vehículos automotores",,
"731002","Servicios de publicidad prestados por profesionales",,
"782000","Actividades de agencias de empleo temporal (incluye empresas de servicios transitorios)",,
"783000","Otras actividades de dotación de recursos humanos",,
"803000","Actividades de investigación (incluye actividades de investigadores y detectives privados)",,
"801001","Servicios de seguridad privada prestados por empresas",,
"802000","Actividades de servicios de sistemas de seguridad (incluye servicios de cerrajería)",,
"801002","Servicio de transporte de valores en vehículos blindados",,
"801003","Servicios de seguridad privada prestados por independientes",,
"812100","Limpieza general de edificios",,
"812901","Desratización, desinfección y exterminio de plagas no agrícolas",,
"742001","Servicios de revelado, impresión y ampliación de fotografías",,
"742003","Servicios personales de fotografía",,
"829200","Actividades de envasado y empaquetado",,
"829110","Actividades de agencias de cobro",,
"829120","Actividades de agencias de calificación crediticia",,
"749001","Asesoría y gestión en la compra o venta de pequeñas y medianas empresas",,
"741002","Actividades de diseño y decoración de interiores",,
"741009","Otras actividades especializadas de diseño n.c.p.",,
"821100","Actividades combinadas de servicios administrativos de oficina",,
"749003","Servicios personales de traducción e interpretación",,
"749002","Servicios de traducción e interpretación prestados por empresas",,
"821900","Fotocopiado, preparación de documentos y otras actividades especializadas de apoyo de oficina",,
"749004","Actividades de agencias y agentes de representación de actores, deportistas y otras figuras públicas",,
"823000","Organización de convenciones y exposiciones comerciales",,
"822000","Actividades de call-center",,
"639900","Otras actividades de servicios de información n.c.p.",,
"731001","Servicios de publicidad prestados por empresas",,
"829900","Otras actividades de servicios de apoyo a las empresas n.c.p.",,
"681011","Alquiler de bienes inmuebles amoblados o con equipos y maquinarias",,
"681012","Compra, venta y alquiler (excepto amoblados) de inmuebles",,
"682000","Actividades inmobiliarias realizadas a cambio de una retribución o por contrata",,
"841200","Regulación de las actividades de organismos que prestan servicios sanitarios, educativos, culturales",,
"841300","Regulación y facilitación de la actividad económica",,
"841100","Actividades de la administración pública en general",,
"842100","Relaciones exteriores",,
"842200","Actividades de defensa",,
"712009","Otros servicios de ensayos y análisis técnicos (excepto actividades de plantas de revisión técnica)",,
"842300","Actividades de mantenimiento del orden público y de seguridad",,
"843010","Fondo Nacional de Salud (FONASA)",,
"843020","Instituto de Previsión Social (IPS)",,
"649203","Cajas de compensación",,
"843090","Otros planes de seguridad social de afiliación obligatoria n.c.p.",,
"850011","Enseñanza preescolar pública",,
"850021","Enseñanza preescolar privada",,
"853110","Enseñanza superior en universidades públicas",,
"853120","Enseñanza superior en universidades privadas",,
"853201","Enseñanza superior en institutos profesionales",,
"853202","Enseñanza superior en centros de formación técnica",,
"850012","Enseñanza primaria, secundaria científico humanista y técnico profesional pública",,
"850022","Enseñanza primaria, secundaria científico humanista y técnico profesional privada",,
"854901","Enseñanza preuniversitaria",,
"854909","Otros tipos de enseñanza n.c.p.",,
"854902","Servicios personales de educación",,
"861010","Actividades de hospitales y clínicas públicas",,
"861020","Actividades de hospitales y clínicas privadas",,
"862031","Servicios de médicos prestados de forma independiente",,
"862010","Actividades de centros de salud municipalizados (servicios de salud pública)",,
"862021","Centros médicos privados (establecimientos de atención ambulatoria)",,
"862032","Servicios de odontólogos prestados de forma independiente",,
"862022","Centros de atención odontológica privados (establecimientos de atención ambulatoria)",,
"869010","Actividades de laboratorios clínicos y bancos de sangre",,
"869092","Servicios prestados de forma independiente por otros profesionales de la salud",,
"869091","Otros servicios de atención de la salud humana prestados por empresas",,
"871000","Actividades de atención de enfermería en instituciones",,
"750001","Actividades de clínicas veterinarias",,
"750002","Actividades de veterinarios, técnicos y otro personal auxiliar, prestados de forma independiente",,
"872000","Actividades de atención en instituciones para personas con discapacidad mental y toxicómanos",,
"873000","Actividades de atención en instituciones para personas de edad y personas con discapacidad física",,
"879000","Otras actividades de atención en instituciones",,
"561000","Actividades de restaurantes y de servicio móvil de comidas",,
"855000","Actividades de apoyo a la enseñanza",,
"881000","Actividades de asistencia social sin alojamiento para personas de edad y personas con discapacidad",,
"812909","Otras actividades de limpieza de edificios e instalaciones industriales n.c.p.",,
"813000","Actividades de paisajismo, servicios de jardinería y servicios conexos",,
"381100","Recogida de desechos no peligrosos",,
"381200","Recogida de desechos peligrosos",,
"382100","Tratamiento y eliminación de desechos no peligrosos",,
"382200","Tratamiento y eliminación de desechos peligrosos",,
"370000","Evacuación y tratamiento de aguas servidas",,
"390000","Actividades de descontaminación y otros servicios de gestión de desechos",,
"941100","Actividades de asociaciones empresariales y de empleadores",,
"941200","Actividades de asociaciones profesionales",,
"942000","Actividades de sindicatos",,
"949100","Actividades de organizaciones religiosas",,
"949200","Actividades de organizaciones políticas",,
"889000","Otras actividades de asistencia social sin alojamiento",,
"949901","Actividades de centros de madres",,
"949902","Actividades de clubes sociales",,
"949903","Fundaciones y corporaciones; asociaciones que promueven actividades culturales o recreativas",,
"591300","Actividades de distribución de películas cinematográficas, videos y programas de televisión",,
"591400","Actividades de exhibición de películas cinematográficas y cintas de video",,
"591100","Actividades de producción de películas cinematográficas, videos y programas de televisión",,
"602000","Programación y transmisiones de televisión",,
"601000","Transmisiones de radio",,
"900002","Actividades artísticas realizadas por bandas de música, compañías de teatro, circenses y similares",,
"900003","Actividades de artistas realizadas de forma independiente: actores, músicos, escritores, entre otros",,
"900009","Otras actividades creativas, artísticas y de entretenimiento n.c.p.",,
"854200","Enseñanza cultural",,
"563001","Actividades de discotecas y cabaret (night club), con predominio del servicio de bebidas",,
"932100","Actividades de parques de atracciones y parques temáticos",,
"900001","Servicios de producción de obras de teatro, conciertos, espectáculos de danza, otras prod. Escénicas",,
"639100","Actividades de agencias de noticias",,
"742002","Servicios y actividades de fotografía",,
"900004","Servicios prestados por periodistas independientes",,
"591200","Actividades de postproducción de películas cinematográficas, videos y programas de televisión",,
"910100","Actividades de bibliotecas y archivos",,
"910200","Actividades de museos, gestión de lugares y edificios históricos",,
"910300","Actividades de jardines botánicos, zoológicos y reservas naturales",,
"492290","Otras actividades de transporte de pasajeros por vía terrestre n.c.p.",,
"931109","Gestión de otras instalaciones deportivas n.c.p.",,
"931209","Actividades de otros clubes deportivos n.c.p.",,
"931201","Actividades de clubes de fútbol amateur y profesional",,
"931101","Hipódromos",,
"931901","Promoción y organización de competencias deportivas",,
"854100","Enseñanza deportiva y recreativa",,
"799000","Otros servicios de reservas y actividades conexas (incluye venta de entradas para teatro, y otros)",,
"920090","Otras actividades de juegos de azar y apuestas n.c.p.",,
"920010","Actividades de casinos de juegos",,
"931102","Gestión de salas de billar; gestión de salas de bolos (bowling)",,
"932901","Gestión de salas de pool; gestión (explotación) de juegos electrónicos",,
"781000","Actividades de agencias de empleo",,
"592000","Actividades de grabación de sonido y edición de música",,
"931909","Otras actividades deportivas n.c.p.",,
"932909","Otras actividades de esparcimiento y recreativas n.c.p.",,
"960100","Lavado y limpieza, incluida la limpieza en seco, de productos textiles y de piel",,
"960200","Peluquería y otros tratamientos de belleza",,
"960310","Servicios funerarios",,
"960320","Servicios de cementerios",,
"960902","Actividades de salones de masajes, baños turcos, saunas, servicio de baños públicos",,
"960909","Otras actividades de servicios personales n.c.p.",,
"970000","Actividades de los hogares como empleadores de personal doméstico",,
"949904","Consejo de administración de edificios y condominios",,
"990000","Actividades de organizaciones y órganos extraterritoriales",,
